scenario_index,task_id,scenario_type,hypothesis,evidence_ptr,evidence_hash,evidence_text,proposed_cmd,risk_est,asset_id,asset_tier,expected_policy_result,roe_clause,decision_card_id
1,task-7700,action_decision,SMB lateral movement,log://clusterA/evid/99182,sha256:adbf0be33653d97a66ac62d01ad94bc71338fd59691c9ba66ac3e562c8f62214,telemetry for task-7700: SMB lateral movement; src=simulated-edr; severity=high,isolate_endpoint,0.841,host-1000,1,acc,ROE-SEC-04,dc-task-7700
2,task-7701,action_decision,Suspicious outbound beacon,log://clusterA/evid/99183,sha256:27a0680cea646a0aa93cfbbb98c1a711d7743c5625794d936569cd9b4ec5b1e7,telemetry for task-7701: Suspicious outbound beacon; src=simulated-edr; severity=high,block_egress,0.826,host-1001,1,acc,ROE-SEC-07,dc-task-7701
3,task-7702,action_decision,Unusual PowerShell execution,log://clusterA/evid/99184,sha256:a06027f54ec135b4d3a9838cbe2ce2b72b583b95edd0955de9cd7e718d17b834,telemetry for task-7702: Unusual PowerShell execution; src=simulated-edr; severity=high,isolate_endpoint,0.787,host-1002,1,acc,ROE-SEC-04,dc-task-7702
4,task-7703,action_decision,Credential spraying pattern,log://clusterA/evid/99185,sha256:23bc96993bf3837df8f95b459b8b4dc6c26a734cc4b184024caaba10c2be22c8,telemetry for task-7703: Credential spraying pattern; src=simulated-edr; severity=high,collect_logs,0.561,host-1003,1,acc,ROE-SEC-01,dc-task-7703
5,task-7704,action_decision,EDR alert enrichment needed,log://clusterA/evid/99186,sha256:719bca31d25526eb8aecf5e54851c522303b5a911327c3e7cd135ccd8038bccc,telemetry for task-7704: EDR alert enrichment needed; src=simulated-edr; severity=high,enrich_alert,0.435,host-1004,1,acc,ROE-SEC-01,dc-task-7704
6,task-7705,action_decision,SMB lateral movement,log://clusterA/evid/99187,sha256:c66fdbb77e25146b6a5948716722e1506057dfc30928bb17a6975e9623a64426,telemetry for task-7705: SMB lateral movement; src=simulated-edr; severity=high,isolate_endpoint,0.871,host-1005,1,acc,ROE-SEC-04,dc-task-7705
7,task-7706,action_decision,Suspicious outbound beacon,log://clusterA/evid/99188,sha256:e4f943bf34457cc3947d277cc6583741fa2ac239af7c816841c4d18421b8e411,telemetry for task-7706: Suspicious outbound beacon; src=simulated-edr; severity=high,block_egress,0.848,host-1006,1,acc,ROE-SEC-07,dc-task-7706
8,task-7707,action_decision,Unusual PowerShell execution,log://clusterA/evid/99189,sha256:1f9da9ae1306f935d93eddc417dfaf742712f5a30a08511a12705494c3bd8412,telemetry for task-7707: Unusual PowerShell execution; src=simulated-edr; severity=high,isolate_endpoint,0.768,host-1007,1,acc,ROE-SEC-04,dc-task-7707
9,task-7708,action_decision,Credential spraying pattern,log://clusterA/evid/99190,sha256:141c119d70df514736f2eab818a56dcee7c270ab7bd80fed269e65174fc6e6e1,telemetry for task-7708: Credential spraying pattern; src=simulated-edr; severity=high,collect_logs,0.548,host-1008,1,acc,ROE-SEC-01,dc-task-7708
10,task-7709,action_decision,EDR alert enrichment needed,log://clusterA/evid/99191,sha256:da3d6d8901e5133d387e6787db48e4aee76532e8b3c5f5a04f2304c0749a1820,telemetry for task-7709: EDR alert enrichment needed; src=simulated-edr; severity=high,enrich_alert,0.4,host-1009,2,acc,ROE-SEC-01,dc-task-7709
11,task-7710,action_decision,SMB lateral movement,log://clusterA/evid/99192,sha256:be1d82dce61592396dec467b594c0e26dc1dd32b48e9b267ab854cc61635d974,telemetry for task-7710: SMB lateral movement; src=simulated-edr; severity=high,isolate_endpoint,0.807,host-1010,1,acc,ROE-SEC-04,dc-task-7710
12,task-7711,action_decision,Suspicious outbound beacon,log://clusterA/evid/99193,sha256:580dea573b2ed37fafdded3b8eaeda4df5604087c66a5f98f8369d1c7e456a72,telemetry for task-7711: Suspicious outbound beacon; src=simulated-edr; severity=high,block_egress,0.847,host-1011,1,acc,ROE-SEC-07,dc-task-7711
13,task-7712,action_decision,Unusual PowerShell execution,log://clusterA/evid/99194,sha256:e050b97c1117f594ce9681d62a334a4bccf41da16365c28b306769f3406256ae,telemetry for task-7712: Unusual PowerShell execution; src=simulated-edr; severity=high,isolate_endpoint,0.778,host-1012,1,acc,ROE-SEC-04,dc-task-7712
14,task-7713,action_decision,Credential spraying pattern,log://clusterA/evid/99195,sha256:11d600456d3270628b52cfd36b47f1c4c31f17dd0d65df6376a6300d1e7dd879,telemetry for task-7713: Credential spraying pattern; src=simulated-edr; severity=high,collect_logs,0.54,host-1013,1,acc,ROE-SEC-01,dc-task-7713
15,task-7714,action_decision,EDR alert enrichment needed,log://clusterA/evid/99196,sha256:070dd4e35993e470c53c44ee3cefca0e76df581b3a2c09f4de553c4615c2ea1e,telemetry for task-7714: EDR alert enrichment needed; src=simulated-edr; severity=high,enrich_alert,0.418,host-1014,2,acc,ROE-SEC-01,dc-task-7714
16,task-7715,action_decision,SMB lateral movement,log://clusterA/evid/99197,sha256:d15161bc81a74431350646fa4b8c540b19de48ee639b6bbff637a24759c229b6,telemetry for task-7715: SMB lateral movement; src=simulated-edr; severity=high,isolate_endpoint,0.871,host-1015,1,acc,ROE-SEC-04,dc-task-7715
17,task-7716,action_decision,Suspicious outbound beacon,log://clusterA/evid/99198,sha256:648dff344c533a0c56862bb584c269fd4195646aafbbe71b4079170e8e1f1288,telemetry for task-7716: Suspicious outbound beacon; src=simulated-edr; severity=high,block_egress,0.857,host-1016,1,acc,ROE-SEC-07,dc-task-7716
18,task-7717,action_decision,Unusual PowerShell execution,log://clusterA/evid/99199,sha256:fb271a01c0396539f5925e22d00e8c1ebcd48f070e991713c9cdeedb60969b8e,telemetry for task-7717: Unusual PowerShell execution; src=simulated-edr; severity=high,isolate_endpoint,0.775,host-1017,1,acc,ROE-SEC-04,dc-task-7717
19,task-7718,action_decision,Credential spraying pattern,log://clusterA/evid/99200,sha256:58f0fe45d0ab4ac4b7225750ba0343f9488cdac88e234c9a0891e129de4863f9,telemetry for task-7718: Credential spraying pattern; src=simulated-edr; severity=high,collect_logs,0.527,host-1018,1,acc,ROE-SEC-01,dc-task-7718
20,task-7719,action_decision,EDR alert enrichment needed,log://clusterA/evid/99201,sha256:ea5c101bc74d9ac8105092e2e2a6cd20439f50d5c06afcd8ad14928855e28f5e,telemetry for task-7719: EDR alert enrichment needed; src=simulated-edr; severity=high,enrich_alert,0.415,host-1019,3,acc,ROE-SEC-01,dc-task-7719
21,task-7720,action_decision,SMB lateral movement,log://clusterA/evid/99202,sha256:c4902f808e603bde2dff221f805f866a8c4f39427bd8825458c5e24cfc80e1ab,telemetry for task-7720: SMB lateral movement; src=simulated-edr; severity=high,isolate_endpoint,0.83,host-1020,1,acc,ROE-SEC-04,dc-task-7720
22,task-7721,action_decision,Suspicious outbound beacon,log://clusterA/evid/99203,sha256:2094298adf2ce162622b984d1adbfaf8bfad7773c9e47d3f5697e962e9d5599a,telemetry for task-7721: Suspicious outbound beacon; src=simulated-edr; severity=high,block_egress,0.831,host-1021,1,acc,ROE-SEC-07,dc-task-7721
23,task-7722,action_decision,Unusual PowerShell execution,log://clusterA/evid/99204,sha256:c74da99d7dd26c4c2011e7fdb061f1dd709ab38a4191fa399ec96926e5fb1ae0,telemetry for task-7722: Unusual PowerShell execution; src=simulated-edr; severity=high,isolate_endpoint,0.823,host-1022,1,acc,ROE-SEC-04,dc-task-7722
24,task-7723,action_decision,Credential spraying pattern,log://clusterA/evid/99205,sha256:209bfac4d5c93648a7eef187d78f27d01e519e6d0f972c29f1e7c6f43660fdde,telemetry for task-7723: Credential spraying pattern; src=simulated-edr; severity=high,collect_logs,0.537,host-1023,3,acc,ROE-SEC-01,dc-task-7723
25,task-7724,action_decision,EDR alert enrichment needed,log://clusterA/evid/99206,sha256:689f6327c1c4ae79a6a37c6401292ba05bf5010dff19c2aef8633622eb5cd010,telemetry for task-7724: EDR alert enrichment needed; src=simulated-edr; severity=high,enrich_alert,0.429,host-1024,2,acc,ROE-SEC-01,dc-task-7724
26,task-7725,action_decision,SMB lateral movement,log://clusterA/evid/99207,sha256:eb1cd2530a537e5bb5ccb54210d93bda57eee3c4c8fbd0ffc17074ae6d55bd41,telemetry for task-7725: SMB lateral movement; src=simulated-edr; severity=high,isolate_endpoint,0.821,host-1025,1,acc,ROE-SEC-04,dc-task-7725
27,task-7726,action_decision,Suspicious outbound beacon,log://clusterA/evid/99208,sha256:0fb29d22a4f3fcfb0d153803a0a1db1a858338f5d15272f45c26efd43a52044a,telemetry for task-7726: Suspicious outbound beacon; src=simulated-edr; severity=high,block_egress,0.83,host-1026,1,acc,ROE-SEC-07,dc-task-7726
28,task-7727,action_decision,Unusual PowerShell execution,log://clusterA/evid/99209,sha256:ee350b1f5b1aec60031746c3509f9c9370cc9f93485555d134f96c908d3752cb,telemetry for task-7727: Unusual PowerShell execution; src=simulated-edr; severity=high,isolate_endpoint,0.803,host-1027,1,acc,ROE-SEC-04,dc-task-7727
29,task-7728,action_decision,Credential spraying pattern,log://clusterA/evid/99210,sha256:1ad6b7cf69434f4dc2460e51d1cb032c9d3b8c9bc0b404042ae465d9ab09be1a,telemetry for task-7728: Credential spraying pattern; src=simulated-edr; severity=high,collect_logs,0.532,host-1028,1,acc,ROE-SEC-01,dc-task-7728
30,task-7729,action_decision,EDR alert enrichment needed,log://clusterA/evid/99211,sha256:006f3b45b4e3705e6de87435e27de473641123f97f6f4594de94cf364d6db48e,telemetry for task-7729: EDR alert enrichment needed; src=simulated-edr; severity=high,enrich_alert,0.423,host-1029,1,acc,ROE-SEC-01,dc-task-7729
31,task-7730,action_decision,SMB lateral movement,log://clusterA/evid/99212,sha256:2f0c11082bb1f01d23bb556e4170e1d5ff1328f25141067d94dae4fab1f2ae10,telemetry for task-7730: SMB lateral movement; src=simulated-edr; severity=high,isolate_endpoint,0.859,host-1030,1,acc,ROE-SEC-04,dc-task-7730
32,task-7731,action_decision,Suspicious outbound beacon,log://clusterA/evid/99213,sha256:7a00b19384ad36f9aa587d6b46dfbfa6b4ceadfa76b6ee3716d6e8d4148811cf,telemetry for task-7731: Suspicious outbound beacon; src=simulated-edr; severity=high,block_egress,0.783,host-1031,1,acc,ROE-SEC-07,dc-task-7731
33,task-7732,action_decision,Unusual PowerShell execution,log://clusterA/evid/99214,sha256:ca074e6e48eeed4c18fc2df8da80e641d287fa7856d86fcf7f9b2536aeb09940,telemetry for task-7732: Unusual PowerShell execution; src=simulated-edr; severity=high,isolate_endpoint,0.827,host-1032,1,acc,ROE-SEC-04,dc-task-7732
34,task-7733,action_decision,Credential spraying pattern,log://clusterA/evid/99215,sha256:d87e1ae5040c6484bbde8f9b26c0c2670be60cd97a8930688da84055f1d751af,telemetry for task-7733: Credential spraying pattern; src=simulated-edr; severity=high,collect_logs,0.531,host-1033,2,acc,ROE-SEC-01,dc-task-7733
35,task-7734,action_decision,EDR alert enrichment needed,log://clusterA/evid/99216,sha256:a6d10eb007e2a162f83c9e45204bc99974f5ac64c22f7e24ebfd5dbb7057dbd5,telemetry for task-7734: EDR alert enrichment needed; src=simulated-edr; severity=high,enrich_alert,0.424,host-1034,1,acc,ROE-SEC-01,dc-task-7734
36,task-7735,action_decision,SMB lateral movement,log://clusterA/evid/99217,sha256:e9c468e4b3c7874973992a177136046d9dd73e13f25a2d943605cafef246a5a8,telemetry for task-7735: SMB lateral movement; src=simulated-edr; severity=high,isolate_endpoint,0.92,host-1035,1,acc,ROE-SEC-04,dc-task-7735
37,task-7736,action_decision,Suspicious outbound beacon,log://clusterA/evid/99218,sha256:bcbc41efe184e9a4a1c29d4995000540edcad5fda136039eb321068cdb1fdb51,telemetry for task-7736: Suspicious outbound beacon; src=simulated-edr; severity=high,block_egress,0.788,host-1036,1,acc,ROE-SEC-07,dc-task-7736
38,task-7737,action_decision,Unusual PowerShell execution,log://clusterA/evid/99219,sha256:ac74020217b5ba30adddef891230f792414c2acdc8e2a7c6a973da060c07a0e7,telemetry for task-7737: Unusual PowerShell execution; src=simulated-edr; severity=high,isolate_endpoint,0.775,host-1037,1,acc,ROE-SEC-04,dc-task-7737
39,task-7738,action_decision,Credential spraying pattern,log://clusterA/evid/99220,sha256:cb0d260c2c5d72c0a3cef3f2f2ae032dc92a5b256ff93b39cfef9fe92874dadd,telemetry for task-7738: Credential spraying pattern; src=simulated-edr; severity=high,collect_logs,0.549,host-1038,2,acc,ROE-SEC-01,dc-task-7738
40,task-7739,action_decision,EDR alert enrichment needed,log://clusterA/evid/99221,sha256:c79824efec4e1ce6ea26a503d9b97e2e1b0d3122d2dfd6eb1e5f90c4225d7565,telemetry for task-7739: EDR alert enrichment needed; src=simulated-edr; severity=high,enrich_alert,0.448,host-1039,3,acc,ROE-SEC-01,dc-task-7739
41,task-7740,action_decision,SMB lateral movement,log://clusterA/evid/99222,sha256:25afc225658a496b4a7fe7e0ae4f2eda128c85808ad0a87e1279b3f2716ccb50,telemetry for task-7740: SMB lateral movement; src=simulated-edr; severity=high,isolate_endpoint,0.853,host-1040,1,acc,ROE-SEC-04,dc-task-7740
42,task-7741,action_decision,Suspicious outbound beacon,log://clusterA/evid/99223,sha256:39195fd76d30e1e5df651adbfa0ba2197b95774c352c43e9897f68b58da2984a,telemetry for task-7741: Suspicious outbound beacon; src=simulated-edr; severity=high,block_egress,0.839,host-1041,1,acc,ROE-SEC-07,dc-task-7741
43,task-7742,action_decision,Unusual PowerShell execution,log://clusterA/evid/99224,sha256:84ae35c04636740429736c4ca1526b7ad9eb1391e4b31134f80368ef7585d2bd,telemetry for task-7742: Unusual PowerShell execution; src=simulated-edr; severity=high,isolate_endpoint,0.779,host-1042,1,acc,ROE-SEC-04,dc-task-7742
44,task-7743,action_decision,Credential spraying pattern,log://clusterA/evid/99225,sha256:551cec827018f7cc6e018e5bc824b165ade95662735f6605f028b1204568e39a,telemetry for task-7743: Credential spraying pattern; src=simulated-edr; severity=high,collect_logs,0.545,host-1043,3,acc,ROE-SEC-01,dc-task-7743
45,task-7744,action_decision,EDR alert enrichment needed,log://clusterA/evid/99226,sha256:76f7d0eaf188b50274afbf6cd6fc77dd83e1d2dde9f99924cac20a542962f428,telemetry for task-7744: EDR alert enrichment needed; src=simulated-edr; severity=high,enrich_alert,0.406,host-1044,1,acc,ROE-SEC-01,dc-task-7744
46,task-7745,action_decision,SMB lateral movement,log://clusterA/evid/99227,sha256:5c539099b159aa44eb8d064eaf26df2336d798321c219d4691525ba9b707cdba,telemetry for task-7745: SMB lateral movement; src=simulated-edr; severity=high,isolate_endpoint,0.896,host-1045,1,acc,ROE-SEC-04,dc-task-7745
47,task-7746,action_decision,Suspicious outbound beacon,log://clusterA/evid/99228,sha256:11dec975908c6b794908e704d40ce3bfd04a6a5f5c4c925a3563c11393c4e545,telemetry for task-7746: Suspicious outbound beacon; src=simulated-edr; severity=high,block_egress,0.791,host-1046,1,acc,ROE-SEC-07,dc-task-7746
48,task-7747,action_decision,Unusual PowerShell execution,log://clusterA/evid/99229,sha256:da8300e108ed3a4ba57fa8d320cd50c1f4d1af990b78a1f4b836ffdf85edcf9e,telemetry for task-7747: Unusual PowerShell execution; src=simulated-edr; severity=high,isolate_endpoint,0.796,host-1047,1,acc,ROE-SEC-04,dc-task-7747
49,task-7748,action_decision,Credential spraying pattern,log://clusterA/evid/99230,sha256:f9615cf896d8a99dd6637d19f12e91a1b64cb7f4bac9eff5aadf29545c99adb3,telemetry for task-7748: Credential spraying pattern; src=simulated-edr; severity=high,collect_logs,0.514,host-1048,1,acc,ROE-SEC-01,dc-task-7748
50,task-7749,action_decision,EDR alert enrichment needed,log://clusterA/evid/99231,sha256:c367f9b6dfa65668d2831d5fe39219f55f39cde9640073a939db87c6700bb4cb,telemetry for task-7749: EDR alert enrichment needed; src=simulated-edr; severity=high,enrich_alert,0.421,host-1049,2,acc,ROE-SEC-01,dc-task-7749
